canonical_UniProtAC	gene	domain_edge_bin_compact	cluster_window_start	cluster_window_end	max_sites_in_20aa_span_within_bin	position	architecture_class	site_key	nearest_domain_edge_distance	nearest_domain_side	nearest_domain_class	nearest_interpro_name	signed_domain_edge_distance	domain_side	signed_distance_bin	abs_distance_class
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	155	broad across IDR	Q8NC51:R155	4.0	C_terminal_to_domain	Other domain	Intracellular hyaluronan-binding protein 4, N-terminal domain	4.0	C-terminal side of domain	C <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	160	broad across IDR	Q8NC51:R160	9.0	C_terminal_to_domain	Other domain	Intracellular hyaluronan-binding protein 4, N-terminal domain	9.0	C-terminal side of domain	C <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	163	broad across IDR	Q8NC51:R163	12.0	C_terminal_to_domain	Other domain	Intracellular hyaluronan-binding protein 4, N-terminal domain	12.0	C-terminal side of domain	C <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	165	broad across IDR	Q8NC51:R165	14.0	C_terminal_to_domain	Other domain	Intracellular hyaluronan-binding protein 4, N-terminal domain	14.0	C-terminal side of domain	C <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	170	broad across IDR	Q8NC51:R170	19.0	N_terminal_to_domain	Other domain	Hyaluronan/mRNA-binding protein	-19.0	N-terminal side of domain	N <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	172	broad across IDR	Q8NC51:R172	17.0	N_terminal_to_domain	Other domain	Hyaluronan/mRNA-binding protein	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q8NC51	SERBP1	Domain edge <=20 aa	155	175	7	175	broad across IDR	Q8NC51:R175	14.0	N_terminal_to_domain	Other domain	Hyaluronan/mRNA-binding protein	-14.0	N-terminal side of domain	N <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	75	domain-proximal clustered	Q13243:R75	1.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	1.0	C-terminal side of domain	C <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	80	domain-proximal clustered	Q13243:R80	6.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	6.0	C-terminal side of domain	C <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	82	domain-proximal clustered	Q13243:R82	8.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	8.0	C-terminal side of domain	C <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	88	domain-proximal clustered	Q13243:R88	14.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	14.0	C-terminal side of domain	C <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	92	domain-proximal clustered	Q13243:R92	16.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-16.0	N-terminal side of domain	N <=20	<=20 aa
Q13243	SRSF5	Domain edge <=20 aa	75	93	6	93	domain-proximal clustered	Q13243:R93	15.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-15.0	N-terminal side of domain	N <=20	<=20 aa
P17844	DDX5	Domain edge <=20 aa	478	496	5	478	broad across IDR	P17844:R478	3.0	C_terminal_to_domain	RNA helicase	Helicase, C-terminal domain-like	3.0	C-terminal side of domain	C <=20	<=20 aa
P17844	DDX5	Domain edge <=20 aa	478	496	5	482	broad across IDR	P17844:R482	7.0	C_terminal_to_domain	RNA helicase	Helicase, C-terminal domain-like	7.0	C-terminal side of domain	C <=20	<=20 aa
P17844	DDX5	Domain edge <=20 aa	478	496	5	484	broad across IDR	P17844:R484	9.0	C_terminal_to_domain	RNA helicase	Helicase, C-terminal domain-like	9.0	C-terminal side of domain	C <=20	<=20 aa
P17844	DDX5	Domain edge <=20 aa	478	496	5	486	broad across IDR	P17844:R486	11.0	C_terminal_to_domain	RNA helicase	Helicase, C-terminal domain-like	11.0	C-terminal side of domain	C <=20	<=20 aa
P17844	DDX5	Domain edge <=20 aa	478	496	5	496	broad across IDR	P17844:R496	2.0	N_terminal_to_domain	RNA helicase	RNA helicase p68 repeat	-2.0	N-terminal side of domain	N <=20	<=20 aa
P98179	RBM3	Domain edge <=20 aa	87	105	5	87	broad across IDR	P98179:R87	2.0	C_terminal_to_domain	RRM / KH RNA-binding	RBM3/CIRBP, RNA recognition motif	2.0	C-terminal side of domain	C <=20	<=20 aa
P98179	RBM3	Domain edge <=20 aa	87	105	5	90	broad across IDR	P98179:R90	5.0	C_terminal_to_domain	RRM / KH RNA-binding	RBM3/CIRBP, RNA recognition motif	5.0	C-terminal side of domain	C <=20	<=20 aa
P98179	RBM3	Domain edge <=20 aa	87	105	5	99	broad across IDR	P98179:R99	14.0	C_terminal_to_domain	RRM / KH RNA-binding	RBM3/CIRBP, RNA recognition motif	14.0	C-terminal side of domain	C <=20	<=20 aa
P98179	RBM3	Domain edge <=20 aa	87	105	5	101	broad across IDR	P98179:R101	16.0	C_terminal_to_domain	RRM / KH RNA-binding	RBM3/CIRBP, RNA recognition motif	16.0	C-terminal side of domain	C <=20	<=20 aa
P98179	RBM3	Domain edge <=20 aa	87	105	5	105	broad across IDR	P98179:R105	20.0	C_terminal_to_domain	RRM / KH RNA-binding	RBM3/CIRBP, RNA recognition motif	20.0	C-terminal side of domain	C <=20	<=20 aa
Q12905	ILF2	Domain edge <=20 aa	5	16	5	5	domain-proximal clustered	Q12905:R5	17.0	N_terminal_to_domain	Other domain	DZF domain, N-terminal	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q12905	ILF2	Domain edge <=20 aa	5	16	5	7	domain-proximal clustered	Q12905:R7	15.0	N_terminal_to_domain	Other domain	DZF domain, N-terminal	-15.0	N-terminal side of domain	N <=20	<=20 aa
Q12905	ILF2	Domain edge <=20 aa	5	16	5	9	domain-proximal clustered	Q12905:R9	13.0	N_terminal_to_domain	Other domain	DZF domain, N-terminal	-13.0	N-terminal side of domain	N <=20	<=20 aa
Q12905	ILF2	Domain edge <=20 aa	5	16	5	12	domain-proximal clustered	Q12905:R12	10.0	N_terminal_to_domain	Other domain	DZF domain, N-terminal	-10.0	N-terminal side of domain	N <=20	<=20 aa
Q12905	ILF2	Domain edge <=20 aa	5	16	5	16	domain-proximal clustered	Q12905:R16	6.0	N_terminal_to_domain	Other domain	DZF domain, N-terminal	-6.0	N-terminal side of domain	N <=20	<=20 aa
Q92804	TAF15	Domain edge <=20 aa	326	343	4	326	broad across IDR	Q92804:R326	6.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	6.0	C-terminal side of domain	C <=20	<=20 aa
Q92804	TAF15	Domain edge <=20 aa	326	343	4	334	broad across IDR	Q92804:R334	14.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	14.0	C-terminal side of domain	C <=20	<=20 aa
Q92804	TAF15	Domain edge <=20 aa	326	343	4	337	broad across IDR	Q92804:R337	17.0	N_terminal_to_domain	Other domain	Zinc finger, RanBP2-type	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q92804	TAF15	Domain edge <=20 aa	326	343	4	343	broad across IDR	Q92804:R343	11.0	N_terminal_to_domain	Other domain	Zinc finger, RanBP2-type	-11.0	N-terminal side of domain	N <=20	<=20 aa
P35637	FUS	Domain edge <=20 aa	377	388	4	377	broad across IDR	P35637:R377	6.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	6.0	C-terminal side of domain	C <=20	<=20 aa
P35637	FUS	Domain edge <=20 aa	377	388	4	383	broad across IDR	P35637:R383	12.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	12.0	C-terminal side of domain	C <=20	<=20 aa
P35637	FUS	Domain edge <=20 aa	377	388	4	386	broad across IDR	P35637:R386	15.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	15.0	C-terminal side of domain	C <=20	<=20 aa
P35637	FUS	Domain edge <=20 aa	377	388	4	388	broad across IDR	P35637:R388	17.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	17.0	C-terminal side of domain	C <=20	<=20 aa
Q9BX40	LSM14B	Domain edge <=20 aa	221	238	4	221	domain-proximal clustered	Q9BX40:R221	20.0	N_terminal_to_domain	Other domain	DFDF domain	-20.0	N-terminal side of domain	N 21-40	<=20 aa
Q9BX40	LSM14B	Domain edge <=20 aa	221	238	4	222	domain-proximal clustered	Q9BX40:R222	19.0	N_terminal_to_domain	Other domain	DFDF domain	-19.0	N-terminal side of domain	N <=20	<=20 aa
Q9BX40	LSM14B	Domain edge <=20 aa	221	238	4	234	domain-proximal clustered	Q9BX40:R234	7.0	N_terminal_to_domain	Other domain	DFDF domain	-7.0	N-terminal side of domain	N <=20	<=20 aa
Q9BX40	LSM14B	Domain edge <=20 aa	221	238	4	238	domain-proximal clustered	Q9BX40:R238	3.0	N_terminal_to_domain	Other domain	DFDF domain	-3.0	N-terminal side of domain	N <=20	<=20 aa
P38159	RBMX	Domain edge <=20 aa	93	103	4	93	broad across IDR	P38159:R93	7.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	7.0	C-terminal side of domain	C <=20	<=20 aa
P38159	RBMX	Domain edge <=20 aa	93	103	4	94	broad across IDR	P38159:R94	8.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	8.0	C-terminal side of domain	C <=20	<=20 aa
P38159	RBMX	Domain edge <=20 aa	93	103	4	101	broad across IDR	P38159:R101	15.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	15.0	C-terminal side of domain	C <=20	<=20 aa
P38159	RBMX	Domain edge <=20 aa	93	103	4	103	broad across IDR	P38159:R103	17.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	17.0	C-terminal side of domain	C <=20	<=20 aa
Q92841	DDX17	Domain edge <=20 aa	90	100	4	90	domain-proximal clustered	Q92841:R90	19.0	N_terminal_to_domain	Other domain	DEAD box protein 17, ATP-binding domain	-19.0	N-terminal side of domain	N <=20	<=20 aa
Q92841	DDX17	Domain edge <=20 aa	90	100	4	92	domain-proximal clustered	Q92841:R92	17.0	N_terminal_to_domain	Other domain	DEAD box protein 17, ATP-binding domain	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q92841	DDX17	Domain edge <=20 aa	90	100	4	94	domain-proximal clustered	Q92841:R94	15.0	N_terminal_to_domain	Other domain	DEAD box protein 17, ATP-binding domain	-15.0	N-terminal side of domain	N <=20	<=20 aa
Q92841	DDX17	Domain edge <=20 aa	90	100	4	100	domain-proximal clustered	Q92841:R100	9.0	N_terminal_to_domain	Other domain	DEAD box protein 17, ATP-binding domain	-9.0	N-terminal side of domain	N <=20	<=20 aa
Q96E39	RBMXL1	Domain edge <=20 aa	91	103	4	91	broad across IDR	Q96E39:R91	5.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	5.0	C-terminal side of domain	C <=20	<=20 aa
Q96E39	RBMXL1	Domain edge <=20 aa	91	103	4	93	broad across IDR	Q96E39:R93	7.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	7.0	C-terminal side of domain	C <=20	<=20 aa
Q96E39	RBMXL1	Domain edge <=20 aa	91	103	4	101	broad across IDR	Q96E39:R101	15.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	15.0	C-terminal side of domain	C <=20	<=20 aa
Q96E39	RBMXL1	Domain edge <=20 aa	91	103	4	103	broad across IDR	Q96E39:R103	17.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	17.0	C-terminal side of domain	C <=20	<=20 aa
P16989	CSDA	Domain edge <=20 aa	169	179	4	169	broad across IDR	P16989:R169	9.0	C_terminal_to_domain	Other domain	Cold-shock domain	9.0	C-terminal side of domain	C <=20	<=20 aa
P16989	CSDA	Domain edge <=20 aa	169	179	4	174	broad across IDR	P16989:R174	14.0	C_terminal_to_domain	Other domain	Cold-shock domain	14.0	C-terminal side of domain	C <=20	<=20 aa
P16989	CSDA	Domain edge <=20 aa	169	179	4	176	broad across IDR	P16989:R176	16.0	C_terminal_to_domain	Other domain	Cold-shock domain	16.0	C-terminal side of domain	C <=20	<=20 aa
P16989	CSDA	Domain edge <=20 aa	169	179	4	179	broad across IDR	P16989:R179	19.0	C_terminal_to_domain	Other domain	Cold-shock domain	19.0	C-terminal side of domain	C <=20	<=20 aa
P62314	SNRPD1	Domain edge <=20 aa	98	106	4	98	domain-proximal clustered	P62314:R98	5.0	C_terminal_to_domain	Ribosome / RNP structural	Small nuclear ribonucleoprotein D1	5.0	C-terminal side of domain	C <=20	<=20 aa
P62314	SNRPD1	Domain edge <=20 aa	98	106	4	100	domain-proximal clustered	P62314:R100	7.0	C_terminal_to_domain	Ribosome / RNP structural	Small nuclear ribonucleoprotein D1	7.0	C-terminal side of domain	C <=20	<=20 aa
P62314	SNRPD1	Domain edge <=20 aa	98	106	4	102	domain-proximal clustered	P62314:R102	9.0	C_terminal_to_domain	Ribosome / RNP structural	Small nuclear ribonucleoprotein D1	9.0	C-terminal side of domain	C <=20	<=20 aa
P62314	SNRPD1	Domain edge <=20 aa	98	106	4	106	domain-proximal clustered	P62314:R106	13.0	C_terminal_to_domain	Ribosome / RNP structural	Small nuclear ribonucleoprotein D1	13.0	C-terminal side of domain	C <=20	<=20 aa
P62633	CNBP	Domain edge <=20 aa	25	32	4	25	domain-proximal clustered	P62633:R25	4.0	C_terminal_to_domain	RNA-associated zinc finger	Zinc finger, CCHC-type	4.0	C-terminal side of domain	C <=20	<=20 aa
P62633	CNBP	Domain edge <=20 aa	25	32	4	27	domain-proximal clustered	P62633:R27	6.0	C_terminal_to_domain	RNA-associated zinc finger	Zinc finger, CCHC-type	6.0	C-terminal side of domain	C <=20	<=20 aa
P62633	CNBP	Domain edge <=20 aa	25	32	4	30	domain-proximal clustered	P62633:R30	9.0	C_terminal_to_domain	RNA-associated zinc finger	Zinc finger, CCHC-type	9.0	C-terminal side of domain	C <=20	<=20 aa
P62633	CNBP	Domain edge <=20 aa	25	32	4	32	domain-proximal clustered	P62633:R32	11.0	C_terminal_to_domain	RNA-associated zinc finger	Zinc finger, CCHC-type	11.0	C-terminal side of domain	C <=20	<=20 aa
Q07955	SRSF1	Domain edge <=20 aa	93	111	4	93	domain-proximal clustered	Q07955:R93	2.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	2.0	C-terminal side of domain	C <=20	<=20 aa
Q07955	SRSF1	Domain edge <=20 aa	93	111	4	97	domain-proximal clustered	Q07955:R97	6.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	6.0	C-terminal side of domain	C <=20	<=20 aa
Q07955	SRSF1	Domain edge <=20 aa	93	111	4	109	domain-proximal clustered	Q07955:R109	4.0	N_terminal_to_domain	RRM / KH RNA-binding	Serine/arginine-rich splicing factor 1, RNA recognition motif 2	-4.0	N-terminal side of domain	N <=20	<=20 aa
Q07955	SRSF1	Domain edge <=20 aa	93	111	4	111	domain-proximal clustered	Q07955:R111	2.0	N_terminal_to_domain	RRM / KH RNA-binding	Serine/arginine-rich splicing factor 1, RNA recognition motif 2	-2.0	N-terminal side of domain	N <=20	<=20 aa
Q14444	CAPRIN1	Domain edge <=20 aa	688	698	4	688	domain-proximal clustered	Q14444:R688	3.0	C_terminal_to_domain	Other domain	Cytoplasmic activation/proliferation-associated protein-1 C term	3.0	C-terminal side of domain	C <=20	<=20 aa
Q14444	CAPRIN1	Domain edge <=20 aa	688	698	4	690	domain-proximal clustered	Q14444:R690	5.0	C_terminal_to_domain	Other domain	Cytoplasmic activation/proliferation-associated protein-1 C term	5.0	C-terminal side of domain	C <=20	<=20 aa
Q14444	CAPRIN1	Domain edge <=20 aa	688	698	4	695	domain-proximal clustered	Q14444:R695	10.0	C_terminal_to_domain	Other domain	Cytoplasmic activation/proliferation-associated protein-1 C term	10.0	C-terminal side of domain	C <=20	<=20 aa
Q14444	CAPRIN1	Domain edge <=20 aa	688	698	4	698	domain-proximal clustered	Q14444:R698	13.0	C_terminal_to_domain	Other domain	Cytoplasmic activation/proliferation-associated protein-1 C term	13.0	C-terminal side of domain	C <=20	<=20 aa
