canonical_UniProtAC	gene	n_bins	bins	max_cluster	total_cluster_bin_sites
A0AV96	RBM47	1	Domain-distal >40 aa	3	3
A1L390	PLEKHG3	1	Domain-distal >40 aa	3	3
A7E2V4	KIAA0913	1	Domain-distal >40 aa	3	6
C9JLR9	C11orf95	1	Domain-distal >40 aa	3	3
O00192	ARVCF	1	Domain-distal >40 aa	3	4
O00571	DDX3X	2	Domain edge <=20 aa | Domain-distal >40 aa	5	15
O14686	KMT2D	1	Domain-distal >40 aa	4	22
O14776	TCERG1	1	Domain-distal >40 aa	4	6
O14979	HNRNPDL	2	Domain edge 21-40 aa | Domain-distal >40 aa	3	9
O15027	SEC16A	1	Domain-distal >40 aa	3	8
O15357	INPPL1	1	Domain-distal >40 aa	4	5
O15523	DDX3Y	1	Domain-distal >40 aa	4	6
O43390	HNRNPR	2	Domain edge 21-40 aa | Domain-distal >40 aa	5	13
O43497	CACNA1G	1	Domain-distal >40 aa	4	5
O43719	HTATSF1	1	Domain edge 21-40 aa	3	3
O43823	AKAP8	1	Domain-distal >40 aa	4	9
O43824	GTPBP6	1	Domain-distal >40 aa	3	3
O43896	KIF1C	1	Domain-distal >40 aa	4	7
O60241	ADGRB2	1	Domain-distal >40 aa	3	3
O60269	GPRIN2	1	Domain-distal >40 aa	3	3
O60293	ZFC3H1	1	Domain-distal >40 aa	3	11
O60506	SYNCRIP	2	Domain edge 21-40 aa | Domain-distal >40 aa	5	20
O60716	CTNND1	1	Domain-distal >40 aa	3	4
O60885	BRD4	1	Domain edge <=20 aa	3	3
O75376	NCOR1	1	Domain-distal >40 aa	3	13
O75385	ULK1	1	Domain-distal >40 aa	3	3
O75525	KHDRBS3	2	Domain edge 21-40 aa | Domain-distal >40 aa	5	12
O75937	DNAJC8	1	Domain-distal >40 aa	3	3
O94913	PCF11	1	Domain-distal >40 aa	3	11
O95071	UBR5	1	Domain-distal >40 aa	3	4
O95429	BAG4	1	Domain-distal >40 aa	3	9
O95817	BAG3	1	Domain-distal >40 aa	3	7
O95835	LATS1	1	Domain-distal >40 aa	3	3
O95985	TOP3B	1	Domain-distal >40 aa	3	3
P05783	KRT18	1	Domain edge 21-40 aa	3	4
P07910	HNRNPC	1	Domain-distal >40 aa	3	3
P08651	NFIC	1	Domain-distal >40 aa	3	5
P0DI83	RAB34	1	Domain-distal >40 aa	3	3
P10070	GLI2	1	Domain-distal >40 aa	3	7
P10301	RRAS	1	Domain edge <=20 aa	3	3
P11831	SRF	1	Domain-distal >40 aa	3	4
